"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2023","AQS","150010005","1","-0.4","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/02/2023","AQS","150010005","1","4","ug/m3 LC","17","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/03/2023","AQS","150010005","1","6.8","ug/m3 LC","28","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/04/2023","AQS","150010005","1","-3","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/05/2023","AQS","150010005","1","-1.4","ug/m3 LC","0","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/06/2023","AQS","150010005","1","1","ug/m3 LC","4","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/07/2023","AQS","150010005","1","2.1","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/08/2023","AQS","150010005","1","2.1","ug/m3 LC","9","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/09/2023","AQS","150010005","1","3.5","ug/m3 LC","15","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
"01/10/2023","AQS","150010005","1","9.1","ug/m3 LC","38","Hawaii Volcanoes NP - Kilauea Visitors Center","1","100.0000","88101","PM2.5 - Local Conditions","25900","Hilo, HI","15","Hawaii","001","Hawaii","19.4308","-155.2578"
